"SVAD_identifier","SEX","agey","FDL","FMSB","FDB","TDL","TPB","TMSB","TDB","FBDL","HDL","HPB","HMSB","HDB","RDL","RPB","RMSB","RDB","UDL","UMSB","max_M1","max_M2","max_M3","max_PM1","max_PM2","max_C","max_I1","max_I2","man_M1","man_M2","man_M3","man_PM1","man_PM2","man_C","man_I1","man_I2","FH_EF","FGT_EF","FLT_EF","FDE_EF","TPE_EF","TDE_EF","FBPE_EF","FBDE_EF","HH_Oss","HGT_Oss","HLT_Oss","HPE_EF","HC_Oss","HT_Oss","HLE_Oss","HDE_EF","HME_EF","RPE_EF","RDE_EF","UPE_EF","UDE_EF","CT_EF","CC_Oss","TC_Oss","ISPR_EF","ILIS_EF","PC_Oss","IC_EF"
"US_0003","F",8.643394935,NA,NA,NA,NA,NA,NA,NA,NA,220.96,34.02,15.6,42.95,NA,14.97,12.91,22.76,191.49,10.67,11,8,NA,9,8,9,11,10,11,8,0,9,9,9,11,11,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,7,NA,2,0,NA,NA
"US_0431","F",4.197125257,228.77,15.69,48.97,192.94,39.77,14.13,24.62,190.55,170.97,27.54,14.35,32.68,128.95,11.37,9.46,17.38,NA,9.15,7,2,NA,5,4,5,6,6,8,2,NA,4,3,5,6,6,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,4,5,0,0,1,NA
"US_0534","M",12.94729637,NA,22.8,67.82,260.5,54.28,17.78,39.05,257.41,NA,38.69,18.26,46.53,NA,16.23,14.02,24.65,181.85,13.01,11,8,2,9,9,9,11,11,11,8,2,9,9,9,11,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,7,5,2,0,1,0
"US_0743","F",6.986995209,267.89,16.81,52.57,221.98,45.28,15.82,28.15,218.78,187.14,32.85,16.55,35.95,136.84,13.82,12.8,20.12,152.75,9.84,9,5,NA,6,6,7,8,8,9,5,NA,6,6,8,9,9,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,7,5,2,0,1,NA
"US_1209","M",4.03559206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,4,4,5,6,6,8,4,NA,4,4,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US_0439","F",16.1615332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,7,11,11,11,11,11,11,11,7,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0294","M",15.40314853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,11,11,11,11,11,11,11,8,11,11,11,11,11,2,2,2,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,2,2,2,3,2,NA,8,NA,2,2,NA,1
"US_0352","F",13.17453799,NA,NA,69.33,NA,60.27,24.36,39.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,11,11,11,11,11,11,11,8,11,11,11,11,11,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,2,2,1,1
"US_0651","M",15.47980835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,11,11,11,11,11,11,11,9,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"US_1105","F",4.057494867,238.44,15.8,54.45,192.36,41.02,12.58,28.02,187.41,166.17,29.55,14.57,35.9,124.81,13.47,9.99,18.02,139.88,9.51,6,1,NA,4,3,5,6,6,7,1,NA,4,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
